26-02-26 03:04:58.936 :   task: train
  gpu_ids: [0, 1, 2, 3]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best.pth
  ]
  batch_size: 1
  nc: [1, 16]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_valid
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-02-26 03:04:59.985 : Number of parameter: 3.41M
26-02-26 03:04:59.985 : start training...
26-02-26 05:10:54.410 : epoch:[60/1000], 平均loss: 0.0243
26-02-26 05:12:58.181 : epoch:[61/1000], 平均loss: 0.0243
26-02-26 05:15:01.958 : epoch:[62/1000], 平均loss: 0.0242
26-02-26 05:17:05.425 : epoch:[63/1000], 平均loss: 0.0242
26-02-26 05:19:08.996 : epoch:[64/1000], 平均loss: 0.0243
26-02-26 05:21:13.170 : epoch:[65/1000], 平均loss: 0.0244
26-02-26 05:23:17.056 : epoch:[66/1000], 平均loss: 0.0244
26-02-26 05:25:21.095 : epoch:[67/1000], 平均loss: 0.0242
26-02-26 05:27:25.003 : epoch:[68/1000], 平均loss: 0.0242
26-02-26 05:29:29.283 : epoch:[69/1000], 平均loss: 0.0243
26-02-26 05:31:32.884 : epoch:[70/1000], 平均loss: 0.0240
26-02-26 05:33:38.183 : epoch:[71/1000], 平均loss: 0.0241
26-02-26 05:35:42.206 : epoch:[72/1000], 平均loss: 0.0245
26-02-26 05:37:46.096 : epoch:[73/1000], 平均loss: 0.0243
26-02-26 05:39:50.156 : epoch:[74/1000], 平均loss: 0.0244
26-02-26 05:41:54.248 : epoch:[75/1000], 平均loss: 0.0241
26-02-26 05:43:58.554 : epoch:[76/1000], 平均loss: 0.0240
26-02-26 05:46:02.081 : epoch:[77/1000], 平均loss: 0.0243
26-02-26 05:48:04.189 : epoch:[78/1000], 平均loss: 0.0242
26-02-26 05:50:08.796 : epoch:[79/1000], 平均loss: 0.0241
26-02-26 05:52:12.893 : epoch:[80/1000], 平均loss: 0.0242
26-02-26 05:54:16.842 : epoch:[81/1000], 平均loss: 0.0239
26-02-26 05:56:20.813 : epoch:[82/1000], 平均loss: 0.0243
26-02-26 05:58:24.881 : epoch:[83/1000], 平均loss: 0.0241
26-02-26 06:00:28.565 : epoch:[84/1000], 平均loss: 0.0240
26-02-26 06:02:32.230 : epoch:[85/1000], 平均loss: 0.0241
26-02-26 06:04:36.195 : epoch:[86/1000], 平均loss: 0.0241
26-02-26 06:06:40.593 : epoch:[87/1000], 平均loss: 0.0242
26-02-26 06:08:44.572 : epoch:[88/1000], 平均loss: 0.0240
26-02-26 06:10:48.999 : epoch:[89/1000], 平均loss: 0.0242
26-02-26 06:12:53.765 : epoch:[90/1000], 平均loss: 0.0241
26-02-26 06:14:58.389 : epoch:[91/1000], 平均loss: 0.0240
26-02-26 06:17:02.178 : epoch:[92/1000], 平均loss: 0.0237
26-02-26 06:19:05.732 : epoch:[93/1000], 平均loss: 0.0239
26-02-26 06:21:09.103 : epoch:[94/1000], 平均loss: 0.0241
26-02-26 06:23:12.678 : epoch:[95/1000], 平均loss: 0.0241
26-02-26 06:25:17.133 : epoch:[96/1000], 平均loss: 0.0241
26-02-26 06:27:21.355 : epoch:[97/1000], 平均loss: 0.0241
26-02-26 06:29:19.165 : epoch:[98/1000], 平均loss: 0.0239
26-02-26 06:31:18.131 : epoch:[99/1000], 平均loss: 0.0239
26-02-26 06:33:22.005 : epoch:[100/1000], 平均loss: 0.0240
26-02-26 06:35:25.740 : epoch:[101/1000], 平均loss: 0.0239
26-02-26 06:37:29.337 : epoch:[102/1000], 平均loss: 0.0238
26-02-26 06:39:32.636 : epoch:[103/1000], 平均loss: 0.0240
26-02-26 06:41:36.744 : epoch:[104/1000], 平均loss: 0.0239
26-02-26 06:43:41.671 : epoch:[105/1000], 平均loss: 0.0239
26-02-26 06:45:45.571 : epoch:[106/1000], 平均loss: 0.0240
26-02-26 06:47:49.140 : epoch:[107/1000], 平均loss: 0.0239
26-02-26 06:49:52.782 : epoch:[108/1000], 平均loss: 0.0240
26-02-26 06:51:56.327 : epoch:[109/1000], 平均loss: 0.0239
26-02-26 06:54:00.195 : epoch:[110/1000], 平均loss: 0.0239
26-02-26 06:56:04.446 : epoch:[111/1000], 平均loss: 0.0241
26-02-26 06:58:08.313 : epoch:[112/1000], 平均loss: 0.0239
26-02-26 07:00:11.846 : epoch:[113/1000], 平均loss: 0.0240
26-02-26 07:02:15.236 : epoch:[114/1000], 平均loss: 0.0240
26-02-26 07:04:19.229 : epoch:[115/1000], 平均loss: 0.0241
26-02-26 07:06:22.411 : epoch:[116/1000], 平均loss: 0.0240
26-02-26 07:08:25.913 : epoch:[117/1000], 平均loss: 0.0239
26-02-26 07:10:31.395 : epoch:[118/1000], 平均loss: 0.0240
26-02-26 07:12:32.381 : epoch:[119/1000], 平均loss: 0.0240
26-02-26 07:14:36.338 : epoch:[120/1000], 平均loss: 0.0238
26-02-26 07:16:40.820 : epoch:[121/1000], 平均loss: 0.0239
26-02-26 07:18:45.954 : epoch:[122/1000], 平均loss: 0.0243
26-02-26 07:20:50.486 : epoch:[123/1000], 平均loss: 0.0238
26-02-26 07:22:54.278 : epoch:[124/1000], 平均loss: 0.0238
26-02-26 07:24:54.331 : epoch:[125/1000], 平均loss: 0.0241
26-02-26 07:26:56.839 : epoch:[126/1000], 平均loss: 0.0238
26-02-26 07:29:00.158 : epoch:[127/1000], 平均loss: 0.0238
26-02-26 07:31:03.336 : epoch:[128/1000], 平均loss: 0.0238
26-02-26 07:33:06.664 : epoch:[129/1000], 平均loss: 0.0237
26-02-26 07:35:09.983 : epoch:[130/1000], 平均loss: 0.0238
26-02-26 07:37:12.488 : epoch:[131/1000], 平均loss: 0.0240
26-02-26 07:39:16.392 : epoch:[132/1000], 平均loss: 0.0239
26-02-26 07:41:19.827 : epoch:[133/1000], 平均loss: 0.0239
26-02-26 07:43:23.640 : epoch:[134/1000], 平均loss: 0.0238
26-02-26 07:45:27.729 : epoch:[135/1000], 平均loss: 0.0238
26-02-26 07:47:31.850 : epoch:[136/1000], 平均loss: 0.0238
26-02-26 07:49:35.583 : epoch:[137/1000], 平均loss: 0.0241
26-02-26 07:51:38.948 : epoch:[138/1000], 平均loss: 0.0240
26-02-26 07:53:42.381 : epoch:[139/1000], 平均loss: 0.0238
26-02-26 07:55:46.078 : epoch:[140/1000], 平均loss: 0.0238
26-02-26 07:57:49.294 : epoch:[141/1000], 平均loss: 0.0239
26-02-26 07:59:52.325 : epoch:[142/1000], 平均loss: 0.0238
26-02-26 08:01:55.898 : epoch:[143/1000], 平均loss: 0.0237
26-02-26 08:03:59.858 : epoch:[144/1000], 平均loss: 0.0238
26-02-26 08:06:03.705 : epoch:[145/1000], 平均loss: 0.0238
26-02-26 08:08:03.612 : epoch:[146/1000], 平均loss: 0.0239
26-02-26 08:10:05.594 : epoch:[147/1000], 平均loss: 0.0237
26-02-26 08:12:08.111 : epoch:[148/1000], 平均loss: 0.0238
26-02-26 08:14:10.612 : epoch:[149/1000], 平均loss: 0.0239
26-02-26 08:16:12.296 : epoch:[150/1000], 平均loss: 0.0237
26-02-26 08:18:13.523 : epoch:[151/1000], 平均loss: 0.0238
26-02-26 08:20:15.483 : epoch:[152/1000], 平均loss: 0.0236
26-02-26 08:22:18.866 : epoch:[153/1000], 平均loss: 0.0238
26-02-26 08:24:20.730 : epoch:[154/1000], 平均loss: 0.0239
26-02-26 08:26:22.100 : epoch:[155/1000], 平均loss: 0.0237
26-02-26 08:28:24.075 : epoch:[156/1000], 平均loss: 0.0239
26-02-26 08:30:25.833 : epoch:[157/1000], 平均loss: 0.0237
26-02-26 08:32:27.915 : epoch:[158/1000], 平均loss: 0.0238
26-02-26 08:34:29.215 : epoch:[159/1000], 平均loss: 0.0235
26-02-26 08:36:30.734 : epoch:[160/1000], 平均loss: 0.0236
26-02-26 08:38:32.395 : epoch:[161/1000], 平均loss: 0.0239
26-02-26 08:40:34.059 : epoch:[162/1000], 平均loss: 0.0237
26-02-26 08:42:35.753 : epoch:[163/1000], 平均loss: 0.0238
26-02-26 08:44:38.764 : epoch:[164/1000], 平均loss: 0.0238
26-02-26 08:46:42.269 : epoch:[165/1000], 平均loss: 0.0237
26-02-26 08:48:45.357 : epoch:[166/1000], 平均loss: 0.0237
26-02-26 08:50:47.838 : epoch:[167/1000], 平均loss: 0.0237
26-02-26 08:52:51.069 : epoch:[168/1000], 平均loss: 0.0237
26-02-26 08:54:55.422 : epoch:[169/1000], 平均loss: 0.0235
26-02-26 08:56:59.438 : epoch:[170/1000], 平均loss: 0.0238
26-02-26 08:59:03.588 : epoch:[171/1000], 平均loss: 0.0238
26-02-26 09:01:07.479 : epoch:[172/1000], 平均loss: 0.0239
26-02-26 09:03:11.487 : epoch:[173/1000], 平均loss: 0.0238
26-02-26 09:05:14.746 : epoch:[174/1000], 平均loss: 0.0239
26-02-26 09:07:18.625 : epoch:[175/1000], 平均loss: 0.0237
26-02-26 09:09:22.880 : epoch:[176/1000], 平均loss: 0.0237
26-02-26 09:11:26.958 : epoch:[177/1000], 平均loss: 0.0236
26-02-26 09:13:31.671 : epoch:[178/1000], 平均loss: 0.0235
26-02-26 09:15:35.577 : epoch:[179/1000], 平均loss: 0.0237
26-02-26 09:17:39.113 : epoch:[180/1000], 平均loss: 0.0239
26-02-26 09:19:43.863 : epoch:[181/1000], 平均loss: 0.0235
26-02-26 09:21:47.598 : epoch:[182/1000], 平均loss: 0.0237
26-02-26 09:23:51.168 : epoch:[183/1000], 平均loss: 0.0236
26-02-26 09:25:53.522 : epoch:[184/1000], 平均loss: 0.0236
26-02-26 09:27:57.621 : epoch:[185/1000], 平均loss: 0.0236
26-02-26 09:29:59.996 : epoch:[186/1000], 平均loss: 0.0236
26-02-26 09:32:02.868 : epoch:[187/1000], 平均loss: 0.0236
26-02-26 09:34:07.457 : epoch:[188/1000], 平均loss: 0.0236
26-02-26 09:36:10.227 : epoch:[189/1000], 平均loss: 0.0237
26-02-26 09:38:14.511 : epoch:[190/1000], 平均loss: 0.0238
26-02-26 09:40:18.432 : epoch:[191/1000], 平均loss: 0.0238
26-02-26 09:42:22.009 : epoch:[192/1000], 平均loss: 0.0235
26-02-26 09:44:25.105 : epoch:[193/1000], 平均loss: 0.0236
26-02-26 09:46:25.647 : epoch:[194/1000], 平均loss: 0.0237
26-02-26 09:48:23.097 : epoch:[195/1000], 平均loss: 0.0237
26-02-26 09:50:25.088 : epoch:[196/1000], 平均loss: 0.0237
26-02-26 09:52:27.838 : epoch:[197/1000], 平均loss: 0.0237
26-02-26 09:54:30.249 : epoch:[198/1000], 平均loss: 0.0238
26-02-26 09:56:32.561 : epoch:[199/1000], 平均loss: 0.0236
26-02-26 09:58:35.384 : epoch:[200/1000], 平均loss: 0.0238
26-02-26 10:00:37.744 : epoch:[201/1000], 平均loss: 0.0238
26-02-26 10:02:39.391 : epoch:[202/1000], 平均loss: 0.0237
26-02-26 10:04:41.656 : epoch:[203/1000], 平均loss: 0.0238
26-02-26 10:06:45.249 : epoch:[204/1000], 平均loss: 0.0237
26-02-26 10:08:48.382 : epoch:[205/1000], 平均loss: 0.0239
26-02-26 10:10:50.355 : epoch:[206/1000], 平均loss: 0.0237
26-02-26 10:12:52.727 : epoch:[207/1000], 平均loss: 0.0236
26-02-26 10:14:55.373 : epoch:[208/1000], 平均loss: 0.0237
26-02-26 10:16:57.352 : epoch:[209/1000], 平均loss: 0.0236
26-02-26 10:18:59.920 : epoch:[210/1000], 平均loss: 0.0236
26-02-26 10:21:01.957 : epoch:[211/1000], 平均loss: 0.0238
26-02-26 10:23:04.765 : epoch:[212/1000], 平均loss: 0.0236
26-02-26 10:25:07.977 : epoch:[213/1000], 平均loss: 0.0236
26-02-26 10:27:11.528 : epoch:[214/1000], 平均loss: 0.0237
26-02-26 10:29:13.819 : epoch:[215/1000], 平均loss: 0.0236
26-02-26 10:31:15.753 : epoch:[216/1000], 平均loss: 0.0237
26-02-26 10:33:19.216 : epoch:[217/1000], 平均loss: 0.0236
26-02-26 10:35:22.945 : epoch:[218/1000], 平均loss: 0.0236
26-02-26 10:37:21.849 : epoch:[219/1000], 平均loss: 0.0236
26-02-26 10:39:25.815 : epoch:[220/1000], 平均loss: 0.0235
26-02-26 10:41:27.498 : epoch:[221/1000], 平均loss: 0.0237
26-02-26 10:43:31.003 : epoch:[222/1000], 平均loss: 0.0239
26-02-26 10:45:34.676 : epoch:[223/1000], 平均loss: 0.0236
26-02-26 10:47:39.070 : epoch:[224/1000], 平均loss: 0.0238
26-02-26 10:49:43.335 : epoch:[225/1000], 平均loss: 0.0237
26-02-26 10:51:48.213 : epoch:[226/1000], 平均loss: 0.0238
26-02-26 10:53:48.800 : epoch:[227/1000], 平均loss: 0.0237
26-02-26 10:55:46.950 : epoch:[228/1000], 平均loss: 0.0236
26-02-26 10:57:50.954 : epoch:[229/1000], 平均loss: 0.0235
26-02-26 10:59:54.970 : epoch:[230/1000], 平均loss: 0.0237
26-02-26 11:01:59.316 : epoch:[231/1000], 平均loss: 0.0238
26-02-26 11:04:03.281 : epoch:[232/1000], 平均loss: 0.0235
26-02-26 11:06:06.984 : epoch:[233/1000], 平均loss: 0.0237
26-02-26 11:08:11.835 : epoch:[234/1000], 平均loss: 0.0238
26-02-26 11:10:15.778 : epoch:[235/1000], 平均loss: 0.0234
26-02-26 11:12:19.983 : epoch:[236/1000], 平均loss: 0.0237
26-02-26 11:14:23.281 : epoch:[237/1000], 平均loss: 0.0237
26-02-26 11:16:27.871 : epoch:[238/1000], 平均loss: 0.0237
26-02-26 11:18:32.183 : epoch:[239/1000], 平均loss: 0.0237
26-02-26 11:20:36.475 : epoch:[240/1000], 平均loss: 0.0236
26-02-26 11:22:39.314 : epoch:[241/1000], 平均loss: 0.0236
26-02-26 11:24:43.895 : epoch:[242/1000], 平均loss: 0.0236
26-02-26 11:26:44.810 : epoch:[243/1000], 平均loss: 0.0237
26-02-26 11:28:48.588 : epoch:[244/1000], 平均loss: 0.0238
26-02-26 11:30:48.959 : epoch:[245/1000], 平均loss: 0.0237
26-02-26 11:32:48.970 : epoch:[246/1000], 平均loss: 0.0236
26-02-26 11:34:53.435 : epoch:[247/1000], 平均loss: 0.0236
26-02-26 11:36:57.722 : epoch:[248/1000], 平均loss: 0.0238
26-02-26 11:39:02.652 : epoch:[249/1000], 平均loss: 0.0237
26-02-26 11:41:06.301 : epoch:[250/1000], 平均loss: 0.0236
26-02-26 11:43:10.623 : epoch:[251/1000], 平均loss: 0.0238
26-02-26 11:45:21.601 : epoch:[252/1000], 平均loss: 0.0239
26-02-26 11:47:31.904 : epoch:[253/1000], 平均loss: 0.0236
26-02-26 11:49:43.342 : epoch:[254/1000], 平均loss: 0.0238
26-02-26 11:51:54.766 : epoch:[255/1000], 平均loss: 0.0235
26-02-26 11:54:06.237 : epoch:[256/1000], 平均loss: 0.0234
26-02-26 11:56:17.975 : epoch:[257/1000], 平均loss: 0.0239
26-02-26 11:58:28.831 : epoch:[258/1000], 平均loss: 0.0236
26-02-26 12:00:40.667 : epoch:[259/1000], 平均loss: 0.0237
26-02-26 12:02:52.406 : epoch:[260/1000], 平均loss: 0.0238
26-02-26 12:05:07.316 : epoch:[261/1000], 平均loss: 0.0237
26-02-26 12:07:19.283 : epoch:[262/1000], 平均loss: 0.0239
26-02-26 12:09:30.383 : epoch:[263/1000], 平均loss: 0.0237
26-02-26 12:11:41.989 : epoch:[264/1000], 平均loss: 0.0236
26-02-26 12:13:53.168 : epoch:[265/1000], 平均loss: 0.0238
26-02-26 12:16:05.064 : epoch:[266/1000], 平均loss: 0.0239
26-02-26 12:18:17.092 : epoch:[267/1000], 平均loss: 0.0236
26-02-26 12:20:27.943 : epoch:[268/1000], 平均loss: 0.0235
26-02-26 12:22:38.421 : epoch:[269/1000], 平均loss: 0.0238
26-02-26 12:24:45.498 : epoch:[270/1000], 平均loss: 0.0237
26-02-26 12:26:50.750 : epoch:[271/1000], 平均loss: 0.0235
26-02-26 12:28:55.055 : epoch:[272/1000], 平均loss: 0.0236
26-02-26 12:30:59.074 : epoch:[273/1000], 平均loss: 0.0237
26-02-26 12:33:03.663 : epoch:[274/1000], 平均loss: 0.0238
26-02-26 12:35:08.636 : epoch:[275/1000], 平均loss: 0.0236
26-02-26 12:37:13.856 : epoch:[276/1000], 平均loss: 0.0236
26-02-26 12:39:18.445 : epoch:[277/1000], 平均loss: 0.0235
26-02-26 12:41:23.075 : epoch:[278/1000], 平均loss: 0.0237
26-02-26 12:43:28.071 : epoch:[279/1000], 平均loss: 0.0235
26-02-26 12:45:33.690 : epoch:[280/1000], 平均loss: 0.0237
26-02-26 12:47:39.005 : epoch:[281/1000], 平均loss: 0.0235
26-02-26 12:49:43.870 : epoch:[282/1000], 平均loss: 0.0236
26-02-26 12:51:48.779 : epoch:[283/1000], 平均loss: 0.0240
26-02-26 12:53:53.956 : epoch:[284/1000], 平均loss: 0.0236
26-02-26 12:55:58.999 : epoch:[285/1000], 平均loss: 0.0236
26-02-26 12:58:04.597 : epoch:[286/1000], 平均loss: 0.0236
26-02-26 13:00:09.338 : epoch:[287/1000], 平均loss: 0.0237
26-02-26 13:02:13.815 : epoch:[288/1000], 平均loss: 0.0238
26-02-26 13:04:17.328 : epoch:[289/1000], 平均loss: 0.0237
26-02-26 13:06:17.270 : epoch:[290/1000], 平均loss: 0.0237
26-02-26 13:08:21.599 : epoch:[291/1000], 平均loss: 0.0238
26-02-26 13:10:24.708 : epoch:[292/1000], 平均loss: 0.0237
26-02-26 13:12:27.899 : epoch:[293/1000], 平均loss: 0.0238
26-02-26 13:14:27.766 : epoch:[294/1000], 平均loss: 0.0237
26-02-26 13:16:25.356 : epoch:[295/1000], 平均loss: 0.0236
26-02-26 13:18:24.227 : epoch:[296/1000], 平均loss: 0.0236
26-02-26 13:20:27.052 : epoch:[297/1000], 平均loss: 0.0234
26-02-26 13:22:31.052 : epoch:[298/1000], 平均loss: 0.0239
26-02-26 13:24:33.217 : epoch:[299/1000], 平均loss: 0.0235
26-02-26 13:26:36.775 : epoch:[300/1000], 平均loss: 0.0237
26-02-26 13:28:39.732 : epoch:[301/1000], 平均loss: 0.0237
26-02-26 13:30:42.907 : epoch:[302/1000], 平均loss: 0.0236
26-02-26 13:32:46.292 : epoch:[303/1000], 平均loss: 0.0239
26-02-26 13:34:49.474 : epoch:[304/1000], 平均loss: 0.0237
26-02-26 13:36:49.369 : epoch:[305/1000], 平均loss: 0.0236
26-02-26 13:38:52.409 : epoch:[306/1000], 平均loss: 0.0236
26-02-26 13:40:55.985 : epoch:[307/1000], 平均loss: 0.0238
26-02-26 13:42:58.222 : epoch:[308/1000], 平均loss: 0.0234
26-02-26 13:45:00.983 : epoch:[309/1000], 平均loss: 0.0239
26-02-26 13:47:04.287 : epoch:[310/1000], 平均loss: 0.0235
26-02-26 13:49:06.602 : epoch:[311/1000], 平均loss: 0.0239
26-02-26 13:51:09.337 : epoch:[312/1000], 平均loss: 0.0234
26-02-26 13:53:12.270 : epoch:[313/1000], 平均loss: 0.0237
26-02-26 13:55:15.595 : epoch:[314/1000], 平均loss: 0.0238
26-02-26 13:57:18.199 : epoch:[315/1000], 平均loss: 0.0237
26-02-26 13:59:20.996 : epoch:[316/1000], 平均loss: 0.0236
26-02-26 14:01:24.191 : epoch:[317/1000], 平均loss: 0.0236
26-02-26 14:03:26.453 : epoch:[318/1000], 平均loss: 0.0237
26-02-26 14:05:28.800 : epoch:[319/1000], 平均loss: 0.0236
26-02-26 14:07:31.432 : epoch:[320/1000], 平均loss: 0.0237
26-02-26 14:09:33.892 : epoch:[321/1000], 平均loss: 0.0237
26-02-26 14:11:36.323 : epoch:[322/1000], 平均loss: 0.0235
26-02-26 14:13:39.206 : epoch:[323/1000], 平均loss: 0.0236
26-02-26 14:15:40.057 : epoch:[324/1000], 平均loss: 0.0235
26-02-26 14:17:40.737 : epoch:[325/1000], 平均loss: 0.0239
26-02-26 14:19:45.154 : epoch:[326/1000], 平均loss: 0.0236
26-02-26 14:21:48.755 : epoch:[327/1000], 平均loss: 0.0237
26-02-26 14:23:51.809 : epoch:[328/1000], 平均loss: 0.0237
26-02-26 14:25:54.226 : epoch:[329/1000], 平均loss: 0.0237
26-02-26 14:27:58.364 : epoch:[330/1000], 平均loss: 0.0238
26-02-26 14:29:59.756 : epoch:[331/1000], 平均loss: 0.0238
26-02-26 14:32:03.394 : epoch:[332/1000], 平均loss: 0.0239
26-02-26 14:34:06.092 : epoch:[333/1000], 平均loss: 0.0237
26-02-26 14:36:09.776 : epoch:[334/1000], 平均loss: 0.0236
26-02-26 14:38:14.020 : epoch:[335/1000], 平均loss: 0.0236
26-02-26 14:40:17.948 : epoch:[336/1000], 平均loss: 0.0236
26-02-26 14:42:21.819 : epoch:[337/1000], 平均loss: 0.0237
26-02-26 14:44:25.146 : epoch:[338/1000], 平均loss: 0.0236
26-02-26 14:46:27.897 : epoch:[339/1000], 平均loss: 0.0235
26-02-26 14:48:31.056 : epoch:[340/1000], 平均loss: 0.0236
26-02-26 14:50:33.880 : epoch:[341/1000], 平均loss: 0.0237
26-02-26 14:52:33.590 : epoch:[342/1000], 平均loss: 0.0235
26-02-26 14:54:36.945 : epoch:[343/1000], 平均loss: 0.0236
26-02-26 14:56:41.247 : epoch:[344/1000], 平均loss: 0.0236
26-02-26 14:58:44.951 : epoch:[345/1000], 平均loss: 0.0235
26-02-26 15:00:46.454 : epoch:[346/1000], 平均loss: 0.0236
26-02-26 15:02:48.430 : epoch:[347/1000], 平均loss: 0.0238
26-02-26 15:04:52.074 : epoch:[348/1000], 平均loss: 0.0235
26-02-26 15:07:08.177 : epoch:[349/1000], 平均loss: 0.0237
26-02-26 15:09:24.374 : epoch:[350/1000], 平均loss: 0.0235
26-02-26 15:11:35.550 : epoch:[351/1000], 平均loss: 0.0237
26-02-26 15:13:42.302 : epoch:[352/1000], 平均loss: 0.0235
26-02-26 15:15:44.115 : epoch:[353/1000], 平均loss: 0.0235
26-02-26 15:17:42.544 : epoch:[354/1000], 平均loss: 0.0235
26-02-26 15:19:46.744 : epoch:[355/1000], 平均loss: 0.0234
26-02-26 15:21:51.385 : epoch:[356/1000], 平均loss: 0.0235
26-02-26 15:23:56.037 : epoch:[357/1000], 平均loss: 0.0238
